gunluk vaka sayi;gunluk test sayi;gunluk iylesen sayi;Toplam asi;Gunluk Asi;Toplam vaka;gunluk olum ;Toplam olum
11,302;138,214;7,711;9756289;196251;2757460;62;28901
11,322;137,885;7,873;9560038;242492;2746158;68;28839
11,52;138,018;7,191;9317546;243906;2734836;65;28771
11,837;135,291;7,892;9073640;298922;2723316;68;28706
9,891;130,536;5,947;8774718;226843;2711479;69;28638
8,424;109,639;6,511;8547875;33100;2701588;66;28569
9,193;125,716;8,938;8514775;215970;2693164;71;28503
9,205;128,387;10,282;8298805;319079;2683971;74;28432
9,572;126,527;6,21;7979726;360031;2674766;73;28358
9,561;124,015;5,297;7619695;330197;2665194;72;28285
9,107;123,734;5,546;7289498;452196;2655633;75;28213
8,104;118,816;5,69;6837302;265472;2646526;78;28138
6,546;101,105;5,002;6571830;38320;2638422;77;28060
7,857;118,911;7,21;6533510;171811;2631876;80;27983
7,419;116,674;7,498;6361699;466404;2624019;82;27903
7,241;115,406;7,217;5895295;671693;2616600;83;27821
7,325;117,121;7,209;5223602;592818;2609359;86;27738
7,906;115,794;7,189;4630784;448757;2602034;90;27652
7,945;116,452;7,106;4182027;356926;2594128;91;27562
6,287;104,108;6,91;3825101;115205;2586183;94;27471
7,706;123,305;7,215;3709896;305542;2579896;93;27377
7,763;129,63;8,108;3404354;558229;2572190;97;27284
7,59;130,313;7,811;2846125;51009;2564427;94;27187
8,642;135,867;7,903;2795116;62407;2556837;95;27093
8,636;137,712;8,109;2732709;68506;2548195;98;26998
8,103;139,378;8,567;2664203;53707;2539559;103;26900
6,67;129,715;8,201;2610496;8779;2531456;112;26797
7,897;137,649;8,089;2601717;41915;2524786;108;26685
7,901;142,538;8,217;2559802;58996;2516889;110;26577
7,909;145,067;8,815;2500806;157526;2508988;113;26467
